strain	virus	date
SARS3_01	sars-cov-2	2023-11-29
SARS3_02	sars-cov-2	2023-01-01
SARS3_03	sars-cov-2	2023-01-01
SARS3_04	sars-cov-2	2023-01-01
SARS3_05	sars-cov-2	-
SARS3_06	sars-cov-2	2023-01-01
SARS3_07	sars-cov-2	2023-01-03
SARS3_08	sars-cov-2	-
SARS3_09	sars-cov-2	2023-01-01
SARS3_10	sars-cov-2	2021-07-16
SARS3_11	sars-cov-2	2023-01-01
SARS3_12	sars-cov-2	-
SARS3_13	sars-cov-2	-
SARS3_14	sars-cov-2	2023-09-20
SARS3_15	sars-cov-2	2021-07-16
SARS3_16	sars-cov-2	2021-07-16
SARS3_17	sars-cov-2	2021-07-16
SARS3_18	sars-cov-2	2021-07-16
SARS3_19	sars-cov-2	2023-01-01
SARS3_20	sars-cov-2	2023-01-01
